"","Route","StateNum","matssname","complete","n_missing","prop_missing","n_possible_years","CountryNum","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID"
"184",131,49,"bbs_rtrg_131_49",TRUE,0,0,28,840,"HUNGERFORD",1,43.7069417,-85.4353239,20,23,1,1
"185",134,49,"bbs_rtrg_134_49",TRUE,0,0,15,840,"BELDING 2",1,43.1119365,-85.193661,16,23,1,1
"186",165,49,"bbs_rtrg_165_49",TRUE,0,0,19,840,"LAPEER",1,43.2370751,-83.2549351,16,23,1,1
"187",3,50,"bbs_rtrg_3_50",TRUE,0,0,51,840,"HARTLAND",1,43.8179682,-93.4993444,40,11,1,1
"188",67,50,"bbs_rtrg_67_50",TRUE,0,0,25,840,"MAHTOWA",1,46.5918377,-92.7409299,28,12,1,1
"189",72,50,"bbs_rtrg_72_50",TRUE,0,0,26,840,"JORDAN",1,47.5532344,-91.342574,28,12,1,1
"190",76,50,"bbs_rtrg_76_50",TRUE,0,0,12,840,"BAGLEY",0,47.4325657,-95.5935279,20,12,1,1
"191",4,51,"bbs_rtrg_4_51",TRUE,0,0,28,840,"COMMERCE",0,34.8108067,-90.4443729,5,26,1,1
"192",113,51,"bbs_rtrg_113_51",TRUE,0,0,30,840,"EMBRY",1,33.5589457,-89.3902589,4,27,1,1
"193",11,52,"bbs_rtrg_11_52",TRUE,0,0,47,840,"WESCO",1,37.9039787,-91.4239279,19,24,1,1
"194",17,52,"bbs_rtrg_17_52",TRUE,0,0,11,840,"WASHINGTON",0,38.5176867,-90.9840159,19,22,1,1
"195",22,52,"bbs_rtrg_22_52",TRUE,0,0,18,840,"COLE CAMP",0,38.4465267,-93.2213989,33,24,1,1
"196",52,52,"bbs_rtrg_52_52",TRUE,0,0,23,840,"WILLIAMSVILL",1,36.9623781,-90.5490559,19,24,1,1
"197",54,52,"bbs_rtrg_54_52",TRUE,0,0,25,840,"HILDA",1,36.6429207,-92.9744729,19,24,1,1
"198",56,52,"bbs_rtrg_56_52",TRUE,0,0,23,840,"WHITEWATER",1,37.2408609,-89.8075467,19,24,1,1
"199",66,52,"bbs_rtrg_66_52",TRUE,0,0,25,840,"LACLEDE",1,39.7948327,-93.1267409,32,22,1,1
"200",68,52,"bbs_rtrg_68_52",TRUE,0,0,25,840,"KIRKSVILLE",1,40.1681387,-92.5154419,32,22,1,1
"201",131,52,"bbs_rtrg_131_52",TRUE,0,0,33,840,"CAMERON",1,39.7131417,-94.0662299,32,22,1,1
"202",217,52,"bbs_rtrg_217_52",TRUE,0,0,10,840,"UNION",0,38.4856457,-90.9431079,19,22,1,1
"203",2,53,"bbs_rtrg_2_53",TRUE,0,0,51,840,"KALISPELL",1,48.1080187,-114.4619289,65,10,1,1
"204",38,53,"bbs_rtrg_38_53",TRUE,0,0,10,840,"WILLOW CREEK",0,45.9146442,-111.7636564,65,10,1,1
"205",40,54,"bbs_rtrg_40_54",TRUE,0,0,32,840,"MURRAY LAKE",1,41.6980247,-103.9868089,36,18,1,1
"206",19,55,"bbs_rtrg_19_55",TRUE,0,0,14,840,"GARDNERVILLE",0,39.0037402,-119.8462197,88,9,1,1
"207",1,58,"bbs_rtrg_1_58",TRUE,0,0,53,840,"PETERBOROUGH",1,42.9015085,-71.8661202,27,14,1,1
