"","k","seed","ncpts","nit","aicc"
"2162",7,110,1,100,137.404436501709
"2163",8,110,1,100,177.645231365601
"2164",9,110,1,100,238.389244495402
"2165",10,110,1,100,379.220235177278
"2166",11,110,1,100,1056.9388037985
"2167",12,110,1,100,-964.294824082829
"2168",13,110,1,100,-287.625438382292
"2169",14,110,1,100,-149.369122207643
"2170",15,110,1,100,-89.8967689004107
"2171",2,112,1,100,32.7669322646549
"2172",3,112,1,100,49.5836011321679
"2173",4,112,1,100,68.5224356226122
"2174",5,112,1,100,93.0671117266704
"2175",6,112,1,100,115.064977379486
"2176",7,112,1,100,135.769387596726
"2177",8,112,1,100,174.145324567321
"2178",9,112,1,100,238.0891249898
"2179",10,112,1,100,373.407773886122
"2180",11,112,1,100,1053.02418932622
"2181",12,112,1,100,-966.640648679315
"2182",13,112,1,100,-288.237866008505
"2183",14,112,1,100,-151.288009611107
"2184",15,112,1,100,-90.83843230848
"2185",2,114,1,100,33.9661468536562
"2186",3,114,1,100,45.5461339222836
"2187",4,114,1,100,64.9485190804305
"2188",5,114,1,100,84.879691290753
"2189",6,114,1,100,110.126991413358
"2190",7,114,1,100,134.404630816232
"2191",8,114,1,100,171.729340050733
"2192",9,114,1,100,238.248480279227
"2193",10,114,1,100,376.649269610974
"2194",11,114,1,100,1054.28122035315
"2195",12,114,1,100,-967.253490854755
"2196",13,114,1,100,-289.457370111081
"2197",14,114,1,100,-150.701901552458
"2198",15,114,1,100,-90.7908332193252
"2199",2,116,1,100,29.6045531793018
"2200",3,116,1,100,49.0983879897093
"2201",4,116,1,100,66.4440934853151
"2202",5,116,1,100,87.3497165389167
"2203",6,116,1,100,111.550364720169
"2204",7,116,1,100,139.248440306705
"2205",8,116,1,100,175.533388076362
"2206",9,116,1,100,237.859438107982
"2207",10,116,1,100,375.913612243679
"2208",11,116,1,100,1054.66183046081
"2209",12,116,1,100,-963.029233286207
"2210",13,116,1,100,-289.068705073079
"2211",14,116,1,100,-149.642037792342
"2212",15,116,1,100,-90.8281443011654
"2213",2,118,1,100,32.2381896508372
"2214",3,118,1,100,52.6293192326029
"2215",4,118,1,100,70.4257687687404
"2216",5,118,1,100,84.7770449832937
"2217",6,118,1,100,111.762052666843
"2218",7,118,1,100,137.323831096273
"2219",8,118,1,100,175.182287915873
"2220",9,118,1,100,237.887357176685
"2221",10,118,1,100,376.471835274626
